Country,Year,Gender,Percentage
Ireland,2012,Male,76.47%
Ireland,2013,Male,86.84%
Ireland,2014,Male,80.19%
Ireland,2015,Male,75.29%
Ireland,2016,Male,72.09%
Ireland,2017,Male,76.06%
Ireland,2018,Male,69.64%
Ireland,2019,Male,59.57%
Ireland,2020,Male,78.18%
Ireland,2021,Male,76.56%
Ireland,2022,Male,76.92%
Latvia,2011,Male,75.00%
Latvia,2012,Male,50.00%
Latvia,2013,Male,83.33%
Latvia,2014,Male,76.00%
Latvia,2015,Male,70.00%
Latvia,2016,Male,75.00%
Latvia,2017,Male,64.29%
Latvia,2018,Male,83.33%
Latvia,2019,Male,80.00%
Latvia,2020,Male,66.67%
Latvia,2021,Male,100.00%
Latvia,2022,Male,66.67%
Netherlands,2017,Male,81.74%
Netherlands,2018,Male,86.27%
Netherlands,2019,Male,76.36%
Netherlands,2020,Male,73.81%
Netherlands,2021,Male,77.60%
Netherlands,2022,Male,85.83%
Portugal,2011,Male,78.79%
Portugal,2012,Male,78.57%
Portugal,2013,Male,82.00%
Portugal,2014,Male,83.67%
Portugal,2015,Male,82.20%
Portugal,2016,Male,80.81%
Portugal,2017,Male,81.82%
Portugal,2018,Male,85.06%
Portugal,2019,Male,78.38%
Portugal,2020,Male,86.36%
Portugal,2021,Male,81.33%
Portugal,2022,Male,86.11%
Romania,2015,Male,66.99%
Romania,2016,Male,56.60%
Romania,2017,Male,42.11%
Romania,2018,Male,57.38%
Romania,2019,Male,59.46%
Romania,2020,Male,50.00%
Romania,2021,Male,52.78%
Romania,2022,Male,68.09%
Spain,2011,Male,74.61%
Spain,2012,Male,78.20%
Spain,2013,Male,74.72%
Spain,2014,Male,75.75%
Spain,2015,Male,76.02%
Spain,2016,Male,77.48%
Spain,2017,Male,76.20%
Spain,2018,Male,74.09%
Spain,2019,Male,78.22%
Spain,2020,Male,74.84%
Spain,2021,Male,79.97%
Spain,2022,Male,79.75%
Switzerland,2011,Male,90.40%
Switzerland,2012,Male,82.69%
Switzerland,2013,Male,91.95%
Switzerland,2014,Male,87.23%
Switzerland,2015,Male,81.68%
Switzerland,2016,Male,83.21%
Switzerland,2017,Male,84.13%
Switzerland,2018,Male,83.23%
Switzerland,2019,Male,81.68%
Switzerland,2020,Male,74.42%
Switzerland,2021,Male,82.76%
Switzerland,2022,Male,82.76%
Turkey,2011,Male,65.31%
Turkey,2012,Male,76.15%
Turkey,2013,Male,81.60%
Turkey,2014,Male,75.00%
Turkey,2015,Male,71.11%
Turkey,2016,Male,67.05%
Turkey,2017,Male,70.97%
Turkey,2018,Male,72.84%
Turkey,2019,Male,72.55%
Turkey,2020,Male,71.21%
Turkey,2021,Male,71.65%
Turkey,2022,Male,74.83%
United Kingdom,2011,Male,78.16%
United Kingdom,2012,Male,77.22%
United Kingdom,2013,Male,77.73%
United Kingdom,2014,Male,77.85%
United Kingdom,2015,Male,79.67%
United Kingdom,2016,Male,75.51%
United Kingdom,2017,Male,73.06%
United Kingdom,2018,Male,75.93%
United Kingdom,2019,Male,73.11%
United Kingdom,2020,Male,72.64%
United Kingdom,2021,Male,69.89%
United Kingdom,2022,Male,70.75%
