Year,Query emissions (g),Task
2023,0.331617421,Token classification
2023,0.33167299,Token classification
2023,0.331785072,Token classification
2023,0.3320592803277999,Token classification
2023,0.332123561,Text classification
2023,0.33216654,Text classification
2023,0.332183474,Text classification
2023,0.332489477,Token classification
2023,0.3328708874227999,Token classification
2023,0.333291882,Text classification
2023,0.3339416551956999,Token classification
2023,0.3341403018941999,Token classification
2023,0.334633205,Text classification
2023,0.334868254,Token classification
2023,0.335018056,Text classification
2023,0.335020492,Text classification
2023,0.336372354,Token classification
2023,0.336610113,Token classification
2023,0.336660889,Text classification
2023,0.336685483,Token classification
2023,0.336753063,Text classification
2023,0.336910953,Text classification
2023,0.337767482,Text classification
2023,0.338047938,Text classification
2023,0.338389024,Text classification
2023,0.338477498,Token classification
2023,0.338577347,Text classification
2023,0.339278995,Text classification
2023,0.339444521,Token classification
2023,0.339516502,Text classification
2023,0.339765555,Text classification
2023,0.340189117,Token classification
2023,0.340628352,Text classification
2023,0.341048918,Text classification
2023,0.341176591,Text classification
2023,0.341247751,Text classification
2023,0.341681894,Text classification
2023,0.3418955620568999,Text classification
2023,0.341906376,Text classification
2023,0.341973389,Text classification
2023,0.3422347722543999,Text classification
2023,0.342479639,Text classification
2023,0.342500171,Text classification
2023,0.342527854,Text classification
2023,0.342792696,Text classification
2023,0.342808062,Text classification
2023,0.343537329,Text classification
2023,0.343646626,Text classification
2023,0.343956908,Text classification
2023,0.344478158,Text classification
2023,0.344668919,Text classification
2023,0.3456734607264999,Text classification
2023,0.346206478,Text classification
2023,0.346473798,Text classification
2023,0.346950659,Text classification
2023,0.3469925996653999,Text classification
2023,0.347864083,Text classification
2023,0.348171399,Text classification
2023,0.348379574,Text classification
2023,0.348793089,Text classification
2023,0.348850957,Text classification
2023,0.348914331,Text classification
2023,0.350162988,Text classification
2023,0.350805805,Text classification
2023,0.352621993,Text classification
2023,0.353073618,Text classification
2023,0.353469038,Question answering
2023,0.353826331,Text classification
2023,0.3539401128250999,Text classification
2023,0.355555959,Question answering
2023,0.3558193294216999,Token classification
2023,0.35607193,Text classification
2023,0.356194179,Question answering
2023,0.356610089,Question answering
2023,0.356623463,Question answering
2023,0.3567915385865999,Token classification
2023,0.356996929,Question answering
2023,0.357343636,Question answering
2023,0.357701155,Question answering
2023,0.357780328,Question answering
2023,0.357927283,Question answering
2023,0.358400787,Question answering
2023,0.35865851,Question answering
2023,0.359240531,Question answering
2023,0.359423925,Question answering
2023,0.35945824,Question answering
2023,0.359734672,Question answering
2023,0.360323554,Token classification
2023,0.360536312,Token classification
2023,0.360583699,Token classification
2023,0.3608098906019999,Question answering
2023,0.360951993,Question answering
2023,0.361068352,Token classification
2023,0.36113803,Question answering
2023,0.36154639,Token classification
2023,0.361584441,Token classification
2023,0.361647622,Token classification
2023,0.361662016,Token classification
2023,0.361683395,Question answering
2023,0.36215748,Token classification
2023,0.362375516,Token classification
2023,0.362393176,Token classification
2023,0.362864037,Token classification
2023,0.363321266,Token classification
2023,0.3636130855282999,Token classification
2023,0.365434369,Token classification
2023,0.365536617,Token classification
2023,0.365791801,Token classification
2023,0.365806024,Fill mask
2023,0.36630614,Token classification
2023,0.3666186622287999,Token classification
2023,0.366869796,Token classification
2023,0.366981459,Token classification
2023,0.367616679,Token classification
2023,0.367623751,Fill mask
2023,0.367655127,Token classification
2023,0.367691033,Fill mask
2023,0.368149602,Fill mask
2023,0.368150822,Fill mask
2023,0.368216727,Token classification
2023,0.368598915,Token classification
2023,0.369082874,Fill mask
2023,0.369125577,Token classification
2023,0.369224204,Token classification
2023,0.369403846,Token classification
2023,0.369499054,Fill mask
2023,0.369593039,Fill mask
2023,0.3710092975253999,Token classification
2023,0.371152151,Fill mask
2023,0.371509238,Token classification
2023,0.371868403,Token classification
2023,0.372286677,Fill mask
2023,0.372399367,Token classification
2023,0.372548761,Token classification
2023,0.372630283,Fill mask
2023,0.372997986,Fill mask
2023,0.373389821,Fill mask
2023,0.373463545,Token classification
2023,0.373613122,Fill mask
2023,0.373840556,Token classification
2023,0.374016736,Fill mask
2023,0.374043989,Fill mask
2023,0.374841841,Fill mask
2023,0.375326837,Fill mask
2023,0.376649992,Token classification
2023,0.378979516,Token classification
2023,0.379007041,Token classification
2023,0.379970444,Fill mask
2023,0.380356349,Question answering
2023,0.3823556161740999,Question answering
2023,0.38251586,Question answering
2023,0.38311673,Question answering
2023,0.383134149,Fill mask
2023,0.383301398,Question answering
2023,0.384945163,Question answering
2023,0.386105688,Fill mask
2023,0.38674855,Fill mask
2023,0.387585635,Fill mask
2023,0.387829313,Fill mask
2023,0.3879190292491999,Fill mask
2023,0.3882932935245999,Fill mask
2023,0.389245136,Fill mask
2023,0.3894500006622999,Fill mask
2023,0.3896354680239999,Fill mask
2023,0.389791335,Fill mask
2023,0.390170849,Fill mask
2023,0.391210462,Question answering
2023,0.391262208,Question answering
2023,0.391407041,Fill mask
2023,0.391412963,Fill mask
2023,0.391848846,Fill mask
2023,0.392183517,Question answering
2023,0.3927158908693999,Fill mask
2023,0.39303335,Fill mask
2023,0.393130286,Question answering
2023,0.393158344,Fill mask
2023,0.393222141,Fill mask
2023,0.393262078,Question answering
2023,0.393267963,Question answering
2023,0.393539565,Question answering
2023,0.393704696,Fill mask
2023,0.3938852924704999,Question answering
2023,0.394411868,Fill mask
2023,0.394552612,Fill mask
