Statement,Country,% agreeing with statement
I have a good understanding of what artificial intelligence is,Peru,73%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Poland,46%
I trust that companies that use artificial intelligence will protect my personal data,Poland,55%
I know which types of products and services use artificial intelligence,Poland,46%
Products and services using artificial intelligence make me nervous,Poland,38%
Products and services using artificial intelligence make me excited,Poland,50%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Poland,59%
Products and services using artificial intelligence have more benefits than drawbacks,Poland,47%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Poland,59%
I have a good understanding of what artificial intelligence is,Poland,69%
I trust companies that use artificial intelligence as much as I trust other companies,Poland,50%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Romania,54%
I have a good understanding of what artificial intelligence is,Romania,77%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Romania,73%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Romania,63%
Products and services using artificial intelligence have more benefits than drawbacks,Romania,61%
Products and services using artificial intelligence make me excited,Romania,62%
I trust companies that use artificial intelligence as much as I trust other companies,Romania,62%
Products and services using artificial intelligence make me nervous,Romania,50%
I know which types of products and services use artificial intelligence,Romania,62%
I trust that companies that use artificial intelligence will protect my personal data,Romania,61%
I know which types of products and services use artificial intelligence,Singapore,57%
Products and services using artificial intelligence make me nervous,Singapore,53%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Singapore,64%
I trust that companies that use artificial intelligence will protect my personal data,Singapore,54%
I trust companies that use artificial intelligence as much as I trust other companies,Singapore,57%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Singapore,63%
Products and services using artificial intelligence have more benefits than drawbacks,Singapore,64%
Products and services using artificial intelligence make me excited,Singapore,65%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Singapore,78%
I have a good understanding of what artificial intelligence is,Singapore,67%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,South Africa,57%
I trust that companies that use artificial intelligence will protect my personal data,South Africa,58%
I know which types of products and services use artificial intelligence,South Africa,60%
Products and services using artificial intelligence make me nervous,South Africa,53%
I trust companies that use artificial intelligence as much as I trust other companies,South Africa,55%
