login,discovery_method,first_marker_date,marker_type,marker_confidence
przemg,commit_search_coauthor,2026-03-14T18:05:35.000+01:00,commit_search: anthropic email (2026-H1+),high
zhousiyao03-cyber,commit_search_coauthor,2026-03-28T09:08:19.000+08:00,commit_search: anthropic email (2026-H1+),high
marvymarv79,commit_search_coauthor,2026-03-23T22:11:39.000-05:00,commit_search: anthropic email (2026-H1+),high
rubenfiszel,commit_search_coauthor,2026-03-28T08:41:52.000Z,commit_search: anthropic email (2026-H1+),high
sp-io,commit_search_coauthor,2026-03-24T10:04:54.000Z,commit_search: anthropic email (2026-H1+),high
Sora4431,commit_search_coauthor,2026-03-27T16:08:25.000+09:00,commit_search: anthropic email (2026-H1+),high
yungblud,commit_search_coauthor,2026-03-23T20:52:43.000+09:00,commit_search: anthropic email (2026-H1+),high
Jensderond,commit_search_coauthor,2026-03-24T23:04:26.000+01:00,commit_search: anthropic email (2026-H1+),high
hevalsogut,commit_search_coauthor,2026-03-24T14:08:36.000+03:00,commit_search: anthropic email (2026-H1+),high
Zhang-Liao,commit_search_coauthor,2026-03-25T10:38:06.000+08:00,commit_search: anthropic email (2026-H1+),high
Hyeon1445,commit_search_coauthor,2026-03-24T23:14:53.000+09:00,commit_search: anthropic email (2026-H1+),high
stevethomas,commit_search_coauthor,2026-03-26T11:15:09.000+10:00,commit_search: anthropic email (2026-H1+),high
akre54,commit_search_coauthor,2026-03-26T19:24:26.000-04:00,commit_search: anthropic email (2026-H1+),high
jpnurmi,commit_search_coauthor,2026-03-27T08:59:27.000+01:00,commit_search: anthropic email (2026-H1+),high
kihiku,commit_search_coauthor,2026-03-18T14:20:31.000+09:00,commit_search: anthropic email (2026-H1+),high
Mrdwan,commit_search_coauthor,2026-03-24T20:15:07.000Z,commit_search: anthropic email (2026-H1+),high
Sebastian-ubs,commit_search_coauthor,2026-03-28T01:18:53.000+13:00,commit_search: anthropic email (2026-H1+),high
nicholaspsmith,commit_search_coauthor,2026-03-02T21:32:18.000-05:00,commit_search: anthropic email (2026-H1+),high
warren-davies4,commit_search_coauthor,2026-03-24T22:57:13.000Z,commit_search: anthropic email (2026-H1+),high
corvid-agent,commit_search_coauthor,2026-03-23T15:50:23.000-07:00,commit_search: anthropic email (2026-H1+),high
yaronmolho1,commit_search_coauthor,2026-03-27T17:05:32.000+03:00,commit_search: anthropic email (2026-H1+),high
williamfiset,commit_search_coauthor,2026-03-10T22:25:11.000-07:00,commit_search: anthropic email (2026-H1+),high
dugshub,commit_search_coauthor,2026-03-21T21:06:48.000Z,commit_search: anthropic email (2026-H1+),high
jjangsky,commit_search_coauthor,2026-03-23T00:21:37.000+09:00,commit_search: anthropic email (2026-H1+),high
Lskyz,commit_search_coauthor,2026-03-28T09:55:23.000+09:00,commit_search: anthropic email (2026-H1+),high
rohal12,commit_search_coauthor,2026-03-21T16:21:03.000+08:00,commit_search: anthropic email (2026-H1+),high
Vraj1234,commit_search_coauthor,2026-03-09T16:09:53.000-07:00,commit_search: anthropic email (2026-H1+),high
gknoblauch,commit_search_coauthor,2026-03-14T10:36:10.000-06:00,commit_search: anthropic email (2026-H1+),high
ibara1454,commit_search_coauthor,2026-03-22T23:34:25.000+09:00,commit_search: anthropic email (2026-H1+),high
NewCoder3294,commit_search_coauthor,2026-03-03T14:12:23.000+04:00,commit_search: anthropic email (2026-H1+),high
bradleyoesch,commit_search_coauthor,2026-03-20T11:35:28.000-05:00,commit_search: anthropic email (2026-H1+),high
backnotprop,commit_search_coauthor,2026-03-09T20:49:06.000-07:00,commit_search: anthropic email (2026-H1+),high
bamdadd,commit_search_coauthor,2026-03-14T16:35:28.000Z,commit_search: anthropic email (2026-H1+),high
nkpng2k,commit_search_coauthor,2026-03-26T15:26:06.000-04:00,commit_search: anthropic email (2026-H1+),high
tobsai,commit_search_coauthor,2026-03-25T22:47:44.000-05:00,commit_search: anthropic email (2026-H1+),high
lkostrowski,commit_search_coauthor,2026-03-25T12:58:01.000+01:00,commit_search: anthropic email (2026-H1+),high
xsyetopz,commit_search_coauthor,2026-03-12T03:59:36.000+02:00,commit_search: anthropic email (2026-H1+),high
allan-mobley-jr,commit_search_coauthor,2026-03-28T01:01:58.000-04:00,commit_search: anthropic email (2026-H1+),high
nperez0111,commit_search_coauthor,2026-03-12T08:28:03.000+01:00,commit_search: anthropic email (2026-H1+),high
brendan-kellam,commit_search_coauthor,2026-03-16T14:15:33.000-07:00,commit_search: anthropic email (2026-H1+),high
Rhodri-Morgan,commit_search_coauthor,2026-03-26T23:18:45.000Z,commit_search: anthropic email (2026-H1+),high
lbliii,commit_search_coauthor,2026-03-26T16:01:18.000-04:00,commit_search: anthropic email (2026-H1+),high
ElisabethBrockhausQC,commit_search_coauthor,2026-03-27T17:40:27.000+01:00,commit_search: anthropic email (2026-H1+),high
tmonsereenusorn,commit_search_coauthor,2026-03-21T00:33:32.000-07:00,commit_search: anthropic email (2026-H1+),high
evantahler,commit_search_coauthor,2026-03-21T22:46:12.000-07:00,commit_search: anthropic email (2026-H1+),high
erans,commit_search_coauthor,2026-03-27T17:48:22.000-07:00,commit_search: anthropic email (2026-H1+),high
yaimgod,commit_search_coauthor,2026-03-21T13:11:42.000+02:00,commit_search: anthropic email (2026-H1+),high
britt,commit_search_coauthor,2026-03-20T09:20:59.000-07:00,commit_search: anthropic email (2026-H1+),high
zrosenbauer,commit_search_coauthor,2026-03-10T22:47:33.000-04:00,commit_search: anthropic email (2026-H1+),high
peaske7,commit_search_coauthor,2026-03-13T12:14:21.000+09:00,commit_search: anthropic email (2026-H1+),high
gshartnett,commit_search_coauthor,2026-03-21T18:51:58.000-07:00,commit_search: anthropic email (2026-H1+),high
matsuokashuhei,commit_search_coauthor,2026-03-22T00:37:02.000+09:00,commit_search: anthropic email (2026-H1+),high
zhengxuyu,commit_search_coauthor,2026-03-19T21:54:15.000Z,commit_search: anthropic email (2026-H1+),high
bamsammich,commit_search_coauthor,2026-02-22T14:41:51.000-05:00,commit_search: anthropic email (2026-H1+),high
slabgorb,commit_search_coauthor,2026-03-21T07:44:53.000-04:00,commit_search: anthropic email (2026-H1+),high
anibalinbalin,commit_search_coauthor,2026-03-09T21:53:19.000-03:00,commit_search: anthropic email (2026-H1+),high
kahramanatalay,commit_search_coauthor,2026-03-12T17:32:09.000+01:00,commit_search: anthropic email (2026-H1+),high
alexluong,commit_search_coauthor,2026-03-18T23:54:57.000+07:00,commit_search: anthropic email (2026-H1+),high
MarcelRoozekrans,commit_search_coauthor,2026-03-20T12:11:21.000+01:00,commit_search: anthropic email (2026-H1+),high
angeloashmore,commit_search_coauthor,2026-03-26T10:24:06.000-10:00,commit_search: anthropic email (2026-H1+),high
ipmb,commit_search_coauthor,2026-03-17T14:31:39.000-06:00,commit_search: anthropic email (2026-H1+),high
vqcoder,commit_search_coauthor,2026-03-19T23:59:48.000-05:00,commit_search: anthropic email (2026-H1+),high
aaronbrezel,commit_search_coauthor,2026-03-27T11:07:14.000-04:00,commit_search: anthropic email (2026-H1+),high
ntatoud,commit_search_coauthor,2026-03-20T22:59:06.000+01:00,commit_search: anthropic email (2026-H1+),high
andenacitelli,commit_search_coauthor,2026-03-23T08:54:25.000-05:00,commit_search: anthropic email (2026-H1+),high
be-marc,commit_search_coauthor,2026-03-19T08:57:52.000+01:00,commit_search: anthropic email (2026-H1+),high
mawad-amd,commit_search_coauthor,2026-03-25T23:54:17.000-07:00,commit_search: anthropic email (2026-H1+),high
sbryngelson,commit_search_coauthor,2026-03-17T00:39:12.000-04:00,commit_search: anthropic email (2026-H1+),high
lancy,commit_search_coauthor,2026-03-26T12:50:37.000Z,commit_search: anthropic email (2026-H1+),high
qwertz111,commit_search_coauthor,2026-03-19T09:31:41.000+01:00,commit_search: anthropic email (2026-H1+),high
wjh2012,commit_search_coauthor,2026-03-19T16:39:08.000+09:00,commit_search: anthropic email (2026-H1+),high
jpalczewski,commit_search_coauthor,2026-03-22T10:36:58.000+01:00,commit_search: anthropic email (2026-H1+),high
ecliptik,commit_search_coauthor,2026-03-24T10:32:18.000-07:00,commit_search: anthropic email (2026-H1+),high
anthony-spruyt,commit_search_coauthor,2026-03-26T23:56:09.000+11:00,commit_search: anthropic email (2026-H1+),high
bverbeken,commit_search_coauthor,2026-03-25T13:46:16.000+01:00,commit_search: anthropic email (2026-H1+),high
saulmc,commit_search_coauthor,2026-03-17T22:58:31.000-07:00,commit_search: anthropic email (2026-H1+),high
chenrocky,commit_search_coauthor,2026-03-10T17:47:04.000-04:00,commit_search: anthropic email (2026-H1+),high
unavailable-2374,commit_search_coauthor,2026-03-25T10:56:11.000-05:00,commit_search: anthropic email (2026-H1+),high
DPr00f,commit_search_coauthor,2026-03-25T16:00:47.000Z,commit_search: anthropic email (2026-H1+),high
Loliner,commit_search_coauthor,2026-03-27T15:55:39.000+11:00,commit_search: anthropic email (2026-H1+),high
coffeexcoin,commit_search_coauthor,2026-03-25T19:17:24.000-04:00,commit_search: anthropic email (2026-H1+),high
ArthurEnrique15,commit_search_coauthor,2026-03-15T14:35:02.000-03:00,commit_search: anthropic email (2026-H1+),high
